correct_ans,question,comment,has_image,image_path
X,全部車輛停止,.\src\sign-OX.files\image198,"法規選擇題第 198 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,左面來車速行,.\src\sign-OX.files\image199,"法規選擇題第 199 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
X,右面來車速行,.\src\sign-OX.files\image200,"法規選擇題第 200 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,本標誌為：在高速公路行駛此路段之車輛，速度限制每小時最高不得超過１１０公里。,.\src\sign-OX.files\image201,"法規選擇題第 201 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
X,警告左線車道終止於前面不遠處，行駛於左線車道之車輛，必須插入右鄰車道。,.\src\sign-OX.files\image202,"法規選擇題第 202 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,指示高（快）速公路出口處，及出口匝道的方向。,.\src\sign-OX.files\image203,"法規選擇題第 203 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,此標誌促使駕駛人注意，遇有障礙物或交通島時，車輛應該分駛其兩側。,.\src\sign-OX.files\image204,"法規選擇題第 204 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,指示通往前方兩處出口的地點，分別為楊梅和新竹，且距該兩處出口之里程分別為５公里與３０公里。,.\src\sign-OX.files\image205,"法規選擇題第 205 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,指示前方有服務區及其距離里程。,.\src\sign-OX.files\image206,"法規選擇題第 206 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,指示前面１５０公尺處之最右側車道為慢速車爬坡之專用車道。,.\src\sign-OX.files\image207,"法規選擇題第 207 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,指示要上高速公路（往南方向）或要去斗南的車輛，須依箭頭方向駛入交流道進口匝道。,.\src\sign-OX.files\image208,"法規選擇題第 208 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,本號誌是車道管制號誌。,.\src\sign-OX.files\image209,"法規選擇題第 209 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,當心動物。,.\src\sign-OX.files\image210,"法規選擇題第 210 題,分類03|行駛中應注意事項(保持安全車距、注意前車狀況)"
○,本標誌是指向北行。,.\src\sign-OX.files\image211,"法規選擇題第 211 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,這是警告標誌，表示前面路段封閉。,.\src\sign-OX.files\image212,"法規選擇題第 212 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,這是「交通錐」，用以輔助拒馬阻擋或分隔交通。,.\src\sign-OX.files\image213,"法規選擇題第 213 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,本標誌用以指示駕駛人，從中壢往高速公路有二處出口。,.\src\sign-OX.files\image214,"法規選擇題第 214 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,本標誌用以指示通達地點應行駛之車道。,.\src\sign-OX.files\image215,"法規選擇題第 215 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,"左圖標誌表示該標誌與前方交流道出口距離為2,000公尺",.\src\sign-OX.files\image216,"法規選擇題第 216 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,煞車系統警示燈,.\src\sign-OX.files\image217,"法規選擇題第 217 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,ABS煞車警示燈,.\src\sign-OX.files\image218,"法規選擇題第 218 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,充電警示燈,.\src\sign-OX.files\image219,"法規選擇題第 219 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,引擎故障警示燈,.\src\sign-OX.files\image220,"法規選擇題第 220 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,低機油壓力警示燈,.\src\sign-OX.files\image221,"法規選擇題第 221 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,低燃油油位警示燈,.\src\sign-OX.files\image222,"法規選擇題第 222 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,引擎故障警示燈,.\src\sign-OX.files\image223,"法規選擇題第 223 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,充電警示燈,.\src\sign-OX.files\image224,"法規選擇題第 224 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,低燃油油位警示燈,.\src\sign-OX.files\image225,"法規選擇題第 225 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,低機油壓力警示燈,.\src\sign-OX.files\image226,"法規選擇題第 226 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,車門開啟警示燈,.\src\sign-OX.files\image227,"法規選擇題第 227 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,轉向指示燈,.\src\sign-OX.files\image228,"法規選擇題第 228 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,轉向指示燈,.\src\sign-OX.files\image229,"法規選擇題第 229 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,車寬指示燈,.\src\sign-OX.files\image230,"法規選擇題第 230 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,遠光指示燈,.\src\sign-OX.files\image231,"法規選擇題第 231 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,霧燈指示燈,.\src\sign-OX.files\image232,"法規選擇題第 232 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,安全帶警示燈,.\src\sign-OX.files\image233,"法規選擇題第 233 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,氣囊警示燈,.\src\sign-OX.files\image234,"法規選擇題第 234 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,危險警告燈按鈕,.\src\sign-OX.files\image235,"法規選擇題第 235 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
X,三角警示架,.\src\sign-OX.files\image236,"法規選擇題第 236 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,自行車騎士手勢預告即將左轉,.\src\sign-OX.files\image237,"法規選擇題第 237 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,自行車騎士手勢預告即將右轉,.\src\sign-OX.files\image238,"法規選擇題第 238 題,分類10|其他(平交道、強制險、環保駕駛、特殊天候、駕駛道德)"
○,通學區起點標線,.\src\sign-OX.files\image239,"法規選擇題第 239 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
○,行人優先區起點標誌,.\src\sign-OX.files\image240,"法規選擇題第 240 題,分類01|路口安全(有號誌路口、無號誌路口、停讓行人)"
